"orig_text","twitter_img_urls","newspaper_img_urls","_mkv_child"
"@Jasonvj2005 Kurt Tucholsky: „Es ist ein schönes Gefühl, man tut was für die Revolution und weiß, mit diese Partei kommt sie ganz bestimmt nicht.“, denn: “People still respond more easily to symbolism than to reason.” (Prince Philip).  #Baerbock #kanzlerinbaerbock","",,0
"Rest in Peace Prince Philip🤴🏻🙏🏻. One of our longstanding customers (Iain Exeter of VTT Ltd) shared the following thoughts with us on Philip’s passing and we felt it apt to share.  🛠⚙️✨Prince Philip on machine tools and why they are important...✨⚒⚙️#PrincePhilip  https://t.co/G6ZiNdjCMu","https://pbs.twimg.com/media/Ey9xmYzWQAEPLCk.jpg",,0
"Rest in Peace Prince Philip🤴🏻🙏🏻. One of our longstanding customers (Iain Exeter of VTT Ltd) shared the following thoughts with us on Philip’s passing and we felt it apt to share.  🛠⚙️✨Prince Philip on machine tools and why they are important...✨⚒⚙️#PrincePhilip  https://t.co/G6ZiNdjCMu","https://pbs.twimg.com/media/Ey9xmY2WQAEcZQL.jpg",,1
"Rest in Peace Prince Philip🤴🏻🙏🏻. One of our longstanding customers (Iain Exeter of VTT Ltd) shared the following thoughts with us on Philip’s passing and we felt it apt to share.  🛠⚙️✨Prince Philip on machine tools and why they are important...✨⚒⚙️#PrincePhilip  https://t.co/G6ZiNdjCMu","https://pbs.twimg.com/media/Ey9xmY6W8AcO4o_.jpg",,2
"Rest in Peace Prince Philip🤴🏻🙏🏻. One of our longstanding customers (Iain Exeter of VTT Ltd) shared the following thoughts with us on Philip’s passing and we felt it apt to share.  🛠⚙️✨Prince Philip on machine tools and why they are important...✨⚒⚙️#PrincePhilip  https://t.co/G6ZiNdjCMu","https://pbs.twimg.com/media/Ey9xmYyXAAYoPJA.jpg",,3
"Now NONE of the Royals will be in uniform at Prince Philip's funeral  https://t.co/jgAaCUnYTD","",,0
"Latest TV NIGHTS-comments are related to death: the death of HRH Prince PHILIP, the death of a MISSING young man +the TRIAL on George FLOYD-death. Comments are also on the RIOTS in NORTHERN IRELAND, latest PANDEMIC NEWS, the US vs IRAN-NEGOTIATIONS, and ..  https://t.co/MHqh4p4kEA","",,0
"Prince Philip entouré de ses 7 arrières petits-enfants, tendre photo prise par Kate Middleton  https://t.co/8pvIA0NVb6 via @purepeople","",,0
"Note the absence of photos of Duke and Duchess of Sussex and Archie ! Palace press office working overtime again to promote Will and kates public profile tut tut ! Prince Philip: Royals release new photos of the Duke of Edinburgh  https://t.co/92EHyJWFWP","",,0
"@DailyMailUK Good... the focus should be on the Queen and the celebration of the life of Prince Philip, nothing else. They should all wear black.","",,0
"Adapt to survive is a mantra that has, once again, served the royals well. Now, Harry won’t be the loner in a suit and Andrew won’t wear a uniform with extra lace. His attempts to accelerate his rehabilitation have stuttered. #PrincePhilip #PrinceAndrew   https://t.co/bBUJd1Khnf","",,0
"Prince Philip funeral: Masks, a lead-lined coffin and an adapted Land Rover - all you need to know  https://t.co/6AAyyK35UK","",,0
"The Queen appoints new Lord Chamberlain ahead of Prince Philip's funeral  https://t.co/aHABOVz82Q","",,0
"Were the #Queen and #PrincePhilip cousins? Here’s how they were related  https://t.co/nn4H7Eesm6  https://t.co/kkQbDYD23j","https://pbs.twimg.com/media/Ey8OehAWEAYrLPu.jpg",,0
"The Chief Kimiwakapulā(representative)of the God on Earth Prince Philip on Vanuatu said this to me about Boris:""Im fela im big gut belong stink face im got dee morals of dyem shite belong whisker rats dyem down dee sewer under dee big Parlament where Dee God on Earth im gon2Heven","",,0
"@sophiamarshalll @tom_boothroyd1 repping prince philip","",,0
"@cheesedoff3 Met the Queen and Prince Philip when my ship, HMS Battleaxe, was Royal Yacht escort.  We boarded at sea by boat transfer one Sunday morning.  Then in port I was invited to the senior rates mess for drinks and had way to many.  Just as well the Queen and Duke weren’t on board then  https://t.co/DmFisatypH","https://pbs.twimg.com/media/Ey9zWZrWEAUGORj.jpg",,0
"@cheesedoff3 Met the Queen and Prince Philip when my ship, HMS Battleaxe, was Royal Yacht escort.  We boarded at sea by boat transfer one Sunday morning.  Then in port I was invited to the senior rates mess for drinks and had way to many.  Just as well the Queen and Duke weren’t on board then  https://t.co/DmFisatypH","https://pbs.twimg.com/media/Ey9zWdjWYAMxqVX.jpg",,1
"@cheesedoff3 Met the Queen and Prince Philip when my ship, HMS Battleaxe, was Royal Yacht escort.  We boarded at sea by boat transfer one Sunday morning.  Then in port I was invited to the senior rates mess for drinks and had way to many.  Just as well the Queen and Duke weren’t on board then  https://t.co/DmFisatypH","https://pbs.twimg.com/media/Ey9zWiGWYAY5y_T.jpg",,2
"@cheesedoff3 Met the Queen and Prince Philip when my ship, HMS Battleaxe, was Royal Yacht escort.  We boarded at sea by boat transfer one Sunday morning.  Then in port I was invited to the senior rates mess for drinks and had way to many.  Just as well the Queen and Duke weren’t on board then  https://t.co/DmFisatypH","https://pbs.twimg.com/media/Ey9zWiKW8AExMCc.jpg",,3
"#News: Prince Philip: Full military rehearsals under way ahead of Duke of Edinburgh's funeral  https://t.co/PayOOiRSha","",,0
"More wonderful never before seen photos of Prince Philip's loving portrait of the Queen at home 💜🇬🇧💜 #princephilip #DoE #TheQueen #lovestory #RoyalFamily   #mediablackoutformarkle #mediablackoutformarkle #mediablackoutformarkle #mediablackoutformarkle   https://t.co/VwURnViQzd","",,0
"@sandieshoes Just copied you into my tweet via the Telegraph 👍. Agree with you, but I think this is a good, pragmatic move by the Queen. She rightly wants the funeral to be all about Prince Philip, not Harry &amp; Andrew.","",,0
"Baron Parker of Minsmere - Andrew Parker  https://t.co/e4s2vosG7g was Director General of the #SecurityService #MI5 from 2013 to 2020  The Queen appoints new Lord Chamberlain ahead of Prince Philip's funeral  https://t.co/vHos771i0x","",,0
"Another iconic photo of Prince Philip and Princess Anne. An incredible father and daughter partnership. ❤️🇬🇧  https://t.co/j11YamH3tf","https://pbs.twimg.com/media/Ey90fVOWYAA8tox.jpg",,0
"MK Mayor's condolence letter after Prince Philip's passing published  https://t.co/sYoLZimdGY  https://t.co/XQSqQjkLaW","https://pbs.twimg.com/media/Ey904PhVgAMALfP.jpg",,0
"Great news - Prince Philip, whose second vaccination was delayed due to his recent hospital spell, will now receive it on Friday.","",,0
"THE Queen has carried out her second in-person public engagement after Prince Philip’s death – welcoming her new Lord Chamberlain to his post #TheQueen #PrincePhilip  https://t.co/pZnQ6IU2ov","",,0
"@RoyalFamily here's hoping that you don't insult #PrinceHarry by allowing this. His uncle is still wanted to answer questions of sex with a child.  #PrinceAndrew ‘requests to wear admiral’s uniform’ for Prince Philip’s funeral  https://t.co/TH4t6r8n0a","",,0
"@JulienCstrd Yesss notre futur prince Philip !!!  https://t.co/0Z9X4pjZ86","https://pbs.twimg.com/media/Ey91ZrFXMAsi2Wu.jpg",,0
"I see #PrinceAndrew is demanding to be allowed to dress as an Admiral at Prince Philip’s funeral. If I were you son I’d be asking to dress in an invisibility cloak and winding my fucking neck in!  https://t.co/InpOiwUbOo","https://pbs.twimg.com/media/Ey91vWEXAAQAmal.jpg",,0
"{editor} Tributes paid to proud supporter of British farming, Prince Philip   https://t.co/yQHp8C5ztg","",,0
"It was a peculiar honour to pay tribute to Prince Philip in the @UKHouseofLords this week.  https://t.co/SiTFzzqCrK","",,0
"#Bilgepumps Episode 45, with @AC_NavalHistory, @Drachinifel &amp; @ArmouredCarrier talking about the #Type83, #China &amp; #PrincePhilip... all thanks to the lovely @CIMSEC &amp; @CIMSEC_UK  8  https://t.co/0Pk0Q4ldHB","",,0
"@RoyalyStrategic The numerology of the number 9 in Prince Philip's life and death:  https://t.co/koc4XQgU4A","",,0
"@RoyalFamily The numerology of the number 9 in Prince Philip's life and death:  https://t.co/koc4XQgU4A","",,0
"MIM shows on 5 stations this w’end - The Day I Met Prince Philip @bbc5live @bbcworldservice Ricky Wilson’s Rock &amp; Roll Classics @BBCRadio2 Definitive History of Jazz in Britain @jazzfm &amp; In Conversation with Carol Drinkwater @BoomRadioUK @AudioFund @RadioToday @DavidLloydRADIO  https://t.co/jerRyWp0pi","https://pbs.twimg.com/media/Ey92yG6WgAUIZxh.jpg",,0
"MIM shows on 5 stations this w’end - The Day I Met Prince Philip @bbc5live @bbcworldservice Ricky Wilson’s Rock &amp; Roll Classics @BBCRadio2 Definitive History of Jazz in Britain @jazzfm &amp; In Conversation with Carol Drinkwater @BoomRadioUK @AudioFund @RadioToday @DavidLloydRADIO  https://t.co/jerRyWp0pi","https://pbs.twimg.com/media/Ey92yG7XIAItwow.jpg",,1
"MIM shows on 5 stations this w’end - The Day I Met Prince Philip @bbc5live @bbcworldservice Ricky Wilson’s Rock &amp; Roll Classics @BBCRadio2 Definitive History of Jazz in Britain @jazzfm &amp; In Conversation with Carol Drinkwater @BoomRadioUK @AudioFund @RadioToday @DavidLloydRADIO  https://t.co/jerRyWp0pi","https://pbs.twimg.com/media/Ey92yG-XAAAVrZM.jpg",,2
"MIM shows on 5 stations this w’end - The Day I Met Prince Philip @bbc5live @bbcworldservice Ricky Wilson’s Rock &amp; Roll Classics @BBCRadio2 Definitive History of Jazz in Britain @jazzfm &amp; In Conversation with Carol Drinkwater @BoomRadioUK @AudioFund @RadioToday @DavidLloydRADIO  https://t.co/jerRyWp0pi","https://pbs.twimg.com/media/Ey92yHAXAAI-9Z8.jpg",,3
"@JOEPUBLIC20171 @DefundBBC @BBCNews Google Prince Philip","",,0
"The Prince Philip story I have been waiting for  ‘His spirit lives on’: Vanuatu’s Tanna island mourns Prince Philip as its own  https://t.co/Y1Mqhdj5uo","",,0
"Full military rehearsals under way ahead of Prince Philip's funeral   https://t.co/Xr9MzHmQI3","",,0
"Mort du prince Philip : ce cliché avec la reine Elizabeth II et leurs arrière-petits-enfants qui émeut les fans de la famille royale (PHOTO)  https://t.co/PnllpkfpGC  https://t.co/5yfDJJMwIp","https://pbs.twimg.com/media/Ey93su1WEAI4DZ-.jpg",,0
"The Queen appoints new Lord Chamberlain ahead of Prince Philip’s funeral  https://t.co/9h2DahbNeb","",,0
"The tributes to Prince Philip have revealed so much – about other people | Marina Hyde  https://t.co/HzHEklJkew","",,0
"@_PolitiCat Really?  What on earth is the Govt playing at now?   I didn’t realise that Prince Philip was teetotal.","",,0
"8 decennia,  The Naval Career of HRH Prince Philip The Duke of Edinburgh  https://t.co/IUnZB3CjcF","",,0
"@MaiaDunphy I’ve now listened to several Prince Philip podcasts, including Dan Snow’s. Lock up your passport 😅","",,0
"tahun 2015. nanti kalo ada foto tambahan 3 cicit baru udah gaada Prince Philip lagi huhu *playing banda neira - yang patah tumbuh yang hilang berganti*  https://t.co/TSrTyTOUMT","https://pbs.twimg.com/media/Ey93oULUYAADBQt.jpg",,0
"Queen welcomes her new Lord Chamberlain as she carries out second public engagement after Prince Philip’s death   https://t.co/RmoLZNIhz8  https://t.co/7SJNG2HIwa","https://pbs.twimg.com/media/Ey95MK0XIAU84jE.jpg",,0
"Queen returns to royal duties just four days after Prince Philip's death  https://t.co/6tsFjWiPFa","",,0
"@dog_gem @jkh_1976 @LaterAngrier @gorstewart Hmm! No extra services for the busiest shopping centre on the network?? Must confess to being a fan of Queenie and her fam so sad to see Prince Philip didn’t make it to 100 but not sure why such a message needs to be done publicly like that...?","",,0
"@thelastround12 @craigscott209 @RobTebbutt @abeG718 @GloveStarrr @Tom_Gray_Boxing @dougiefischer @mrboxingguru @MrAndyClarke @MonteroOnBoxing @Terryboxing Prince Philip would have been a world champion if it wasn't for the Queen!","",,0
"The Queen appoints new Lord Chamberlain ahead of Prince Philip's funeral   https://t.co/aF3Aqa7tT0","",,0
"👌 The tributes to Prince Philip have revealed so much – about other people | Prince Philip | The Guardian  https://t.co/R513VddDQb","",,0
"Labour councillor suspended by party over Prince Philip comments - Liverpool Echo  https://t.co/gLYZf0gnKJ","",,0
"BBC News - The Queen appoints new Lord Chamberlain ahead of Prince Philip's funeral  https://t.co/yiRoZgFtMw","",,0
"La Une Private Eye, l'équivalent du Canard Enchaîné au Royaume-Uni est excellente!  David Cameron est impliqué dans un scandale de lobbying pour ses amis banquiers. #Greensill #GreensillScandal #PrincePhilip","",,0
"Confusion As Queen Elizabeth Bans Military Uniform For Royals At Prince Philip’s Funeral Following Debate About Whether Prince Harry Can Wear Uniform  https://t.co/W6FSz8ZWMx","",,0
"@chrisshipitv Prince Philip didn't want a state funeral, so why would they wear state uniforms, plus its going to be only family and a more personal funeral. Witch I think is so special for them all.","",,0
"Good to see Prince Philip`s funeral will be attended by his side of the family, just 3 attendees but family he was close to included in the 30 person rule.","",,0
"Tribe that worshipped Prince Philip as a god could appoint Prince Charles successor  https://t.co/A8pjo3vD4Y  https://t.co/8QBqLpNQZ9","https://pbs.twimg.com/media/Ey97ziTWUAY9uuo.jpg",,0
"Three of Prince Philip's German family will attend funeral after Duke said he wanted 'blood' relatives represented  https://t.co/hurRcQyaZU","",,0
"@BBCNews Can we just clear something up please, how old was prince Philip when he died? Only I can’t seem to find out anywhere.","",,0
"@Goldfish_80 @ArCtICF77343181 @alexrae1969 Just noticed he thought Prince Philip was a King too 😂😂😂😂  Thick as mince.","",,0
"Prince Philip washed his horses in Fairy Up liquid, pass it on.  (Maybe, maybe not, but fuck off racists)","",,0
"Meghan remained in the US while Harry travelled to the UK to attend Prince Philip's funeral   https://t.co/mtJ9pvjiIR","",,0
"Prince Philip interview | Duke of Edinburgh | Afternoon plus | 1984  https://t.co/5QvnZ5WSKb via @YouTube","",,0
"Prince Philip still in 'good spirits'.","",,0
"Tension In Heaven As Prince Philip Describes Jesus As ‘Darker Than I Expected’  https://t.co/hKATQ7Fybw","",,0
"Prince Philip funeral: No Royals to wear military uniform to avoid embarrassment, @chrisshipitv writes  https://t.co/EhzRNj8u14","",,0
"GYLES BRANDRETH: Prince Philip letters to Diana reveal he was determined to save her marriage to Charles  https://t.co/7dtjbuIVKx","",,0
"Royal Family releases sweet unseen picture of Prince Philip with great-grandchildren   https://t.co/EHnyPYXJKr  https://t.co/LeHrZ4SCs1","https://pbs.twimg.com/media/Ey96FAzWgAEQdYn.jpg",,0
"Grieving Princess Anne reminisces about sailing on Prince Philip's Bloodhound boat as she visits the Royal Yacht Squadron in Cowes five days after her father died aged 99 via  https://t.co/Q4Lr6heZg1  https://t.co/GnPwIHVdMZ","",,0
"Three of Prince Philip's German family will attend funeral and are isolating in Ascot before service after Duke said he wanted 'blood' relatives represented  via  https://t.co/Q4Lr6heZg1  https://t.co/aSzqKG58de","",,0
"Petition Launched For STATUE To Honour Prince Philip  https://t.co/B6RvPNs8HU via @YouTube","",,0
"BBC 'receives 100,000 complaints' over Prince Philip coverage  https://t.co/7qZIs0ESvn","",,0
"Craig Mackinlay, Jake Berry, two tories who want a new Royal Yacht named after Prince Philip. Is there no end to the madness    https://t.co/ruoVk0qVBx","",,0
"Prince Philip's loving portrait of the Queen at home revealed  https://t.co/LGWvxrtnke","",,0
"@SaGlas297 @chrisshipitv This is really sad Prince Philip loved his military uniform he even dressed up for the Queen and made her smile,  so sad that the idiot relatives spoil the day.","",,0
"The Queen performs her second official engagement following Prince Philip's death   https://t.co/VKgzJ5shzz","",,0
"The Queen appoints new Lord Chamberlain ahead of Prince Philip's funeral  https://t.co/QfQg5E09do  https://t.co/7gcali8N2m","https://pbs.twimg.com/media/Ey-AVYgUUAAPkGP.jpg",,0
"@_PolitiCat I doubt that is true. I think Prince Philip would have laughed at such nonsense.","",,0
"What a performance!  Queen decides none of the royal family members to wear military uniform at Prince Philip's funeral  https://t.co/rddikhd8FR","",,0
"Labour has suspended a councillor who criticised a newspaper article, 'The best of Prince Philip's gaffes, quotes and quips'   https://t.co/V4C7Fafaf9","",,0
"We should honour Prince Philip by fighting the warped cult of woke  https://t.co/wKFTyNq9h2","",,0
"Prince Philip: Full military rehearsals under way ahead of Duke of Edinburgh's funeral  https://t.co/lVf8pebpcm","",,0
